file length: 10000
fixed file:  false
order replicate index language algorithm seconds
681 46 11 Java Quicksort 0.35932
682 46 8 Go Quicksort 0.27835
683 46 2 C# Quicksort 0.10011
684 46 4 C++ Mergesort 0.07275
685 46 1 C# Mergesort 0.09191
686 46 9 Java Binarytree 0.38133
687 46 13 Python Mergesort 0.37926
688 46 7 Go Mergesort 0.17499
689 46 10 Java Mergesort 0.35813
690 46 5 C++ Quicksort 0.09644
691 47 1 C# Mergesort 0.10976
692 47 8 Go Quicksort 0.16589
693 47 0 C# Binarytree 0.14918
694 47 13 Python Mergesort 0.46057
695 47 10 Java Mergesort 0.41989
696 47 4 C++ Mergesort 0.11703
697 47 9 Java Binarytree 0.36703
698 47 5 C++ Quicksort 0.13635
699 47 7 Go Mergesort 0.22210
700 47 3 C++ Binarytree 0.13123
701 47 11 Java Quicksort 0.36122
702 47 14 Python Quicksort 0.37687
703 47 12 Python Binarytree 0.45624
704 47 6 Go Binarytree 0.25475
705 47 2 C# Quicksort 0.10462
706 48 0 C# Binarytree 0.09614
707 48 4 C++ Mergesort 0.07319
708 48 14 Python Quicksort 0.33241
709 48 2 C# Quicksort 0.09578
710 48 3 C++ Binarytree 0.09175
711 48 1 C# Mergesort 0.10730
712 48 6 Go Binarytree 0.23005
713 48 12 Python Binarytree 0.43515
714 48 11 Java Quicksort 0.39656
715 48 13 Python Mergesort 0.42953
716 48 8 Go Quicksort 0.16646
717 48 9 Java Binarytree 0.32669
718 48 10 Java Mergesort 0.32979
719 48 7 Go Mergesort 0.22460
720 48 5 C++ Quicksort 0.07210
